split,task,seed,layer,real_paraphrase_distance,real_semantic_distance,real_irrelevant_distance,real_semantic_margin,real_semantic_ratio,mismatch_paraphrase_distance,mismatch_semantic_distance,mismatch_irrelevant_distance,mismatch_semantic_margin,grounded_semantic_margin,real_visual_attention_mass
exploration,move_near,73,9,0.04804163731701442,0.08207171774763539,0.030704170882250414,0.03403008043062097,1.7747962591513158,0.03603896990264125,0.06901721287296546,0.027887463318078603,0.03297824297032421,0.0010518374602967613,0.12003714488355399
exploration,move_near,73,10,0.05433954936273197,0.10096209236026216,0.036963063272917276,0.04662254299753019,1.8966417503279434,0.04977659958167981,0.0582231794967642,0.026012581231446247,0.008446579915084388,0.0381759630824458,0.14715803605728675
exploration,move_near,73,11,0.05822146818927291,0.17061116252079775,0.027849494765511965,0.11238969433152483,3.0269994651388257,0.07324376984564757,0.09303339452547747,0.0275545175019891,0.019789624679829892,0.09260006965169493,0.22388397851652067
exploration,move_near,73,12,0.04361620893975119,0.08616555834598459,0.026209869153140188,0.04254934940623339,1.9996613844416433,0.0555450355308247,0.06597463543349577,0.022473491820165097,0.010429599902671062,0.03211974950356233,0.22103823176674572
exploration,move_near,73,13,0.039702531367920964,0.09339860543476523,0.024475920802930873,0.053696074066844256,2.3205551531329194,0.044826623592413774,0.059016855538316405,0.02955551288213514,0.014190231945902632,0.039505842120941624,0.172428332524305
exploration,move_near,73,14,0.034767600640086216,0.1479686311075997,0.026397083365699292,0.11291396469602803,4.247282051513036,0.05506466961931966,0.09710496262562628,0.03488473388950938,0.04204029300630661,0.0708736716897214,0.34430062101925313
exploration,move_near,73,15,0.0361512032112876,0.07190801145639879,0.03296502281779532,0.03546482017928889,2.1003211806866573,0.052196761379146195,0.06933358344990845,0.035150943056485064,0.017136822070762257,0.018327998108526634,0.2228131667574189
exploration,move_near,73,16,0.027987977756773825,0.08334036665022942,0.023503286319878493,0.05437209786753893,2.898443986328806,0.04706574332522909,0.07651947202484642,0.03424291909448344,0.02945372869961732,0.024918369167921603,0.15416599065021805
exploration,move_near,73,17,0.040874488163704446,0.11981675577252937,0.027988814082121255,0.07894226760882493,3.1991884517378355,0.051409267296426926,0.0820407898350138,0.03881985333056658,0.030631522538586874,0.04831074507023805,0.1898582329747569
exploration,move_near,73,18,0.05242097043938455,0.08783691163182787,0.035005699799828253,0.03541594119244332,1.6819330808188246,0.05683347873896879,0.0670995666866659,0.033122626755516846,0.010266087947697124,0.025149853244746195,0.09282965050404357
exploration,move_near,73,19,0.055882093432255975,0.08449985838557257,0.030939626740632817,0.028617764953316593,1.4602663873365673,0.062198597774756594,0.07238744395448009,0.05513408908156368,0.003995095877128996,0.024622669076187594,0.09933382736751639
exploration,move_near,73,20,0.05575013157889683,0.09932733031482337,0.04207372895233186,0.04223712478066269,1.7511482409287868,0.05375214962992253,0.06978578857380248,0.050255780687447654,0.01583659197981952,0.026400532800843163,0.12990819000111742
exploration,move_near,73,21,0.04904298667634164,0.10578129036410006,0.04610521117787128,0.05170670034491931,1.9793186572373227,0.062131353057716644,0.08076287617730687,0.042769939102173256,0.016272689576157323,0.035434010768761987,0.09217487696227049
