state_id,task,seed,split,matched_count,layer,scale,count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,14,1.0,23,0.6378384079059848,0.4128134693185611,1.0,0.9960904226157431,0.0039095773842569015,1.0,0.9166666666666666,0.08333333333333337
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,9,1.25,29,0.5177864992126269,0.3281960668490652,0.9676296287059435,0.9467049949335397,0.020924633772403833,0.7575757575757576,0.9333333333333333,-0.17575757575757578
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,11,1.25,29,0.6575371677689087,0.46794673540534704,0.9152272357241474,0.8640094176660976,0.05121781805804981,0.9333333333333333,0.7575757575757576,0.17575757575757578
google_robot_open_drawer__seed000__step101,open_drawer,0,validation,23,14,1.25,29,0.6160953777451774,0.42650494538161576,0.9961204372772126,0.98107893711098,0.015041500166232513,0.9333333333333333,0.8709677419354839,0.062365591397849474
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,9,0.75,30,0.4652891304636884,0.2597192916409218,1.0,0.9167846031679024,0.08321539683209755,1.0,0.7647058823529411,0.23529411764705888
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,11,0.75,30,0.5139584403967047,0.3083886015739381,0.9305220044795002,0.9072971080613881,0.023224896418112095,0.6666666666666666,0.6216216216216216,0.04504504504504503
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,14,0.75,30,0.5586148970277648,0.3530450582049982,0.9785869338795732,0.8246270393544788,0.1539598945250944,0.875,0.7142857142857143,0.1607142857142857
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,9,1.0,40,0.5057905319122752,0.42546674850665384,0.9821786327557956,0.9076817521219168,0.07449688063387883,0.9047619047619048,0.7777777777777778,0.12698412698412698
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,11,1.0,40,0.44796871590615717,0.3676449325005358,0.9595099653760233,0.8654057874857006,0.09410417789032266,0.8604651162790697,0.7021276595744681,0.15833745670460164
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,14,1.0,40,0.4810230025972957,0.40069921919167434,0.9638288855389822,0.8828344092984867,0.0809944762404955,0.7777777777777778,0.6666666666666666,0.11111111111111116
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,9,1.25,50,0.4071506641097262,-0.08265712614243398,0.9407152702788553,0.9210359009912713,0.01967936928758396,0.8867924528301887,0.8518518518518519,0.034940600978336844
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,11,1.25,50,0.4797590404046248,-0.010048749847535399,0.9613239670013506,0.9023267577497114,0.058997209251639204,0.8518518518518519,0.7543859649122807,0.09746588693957114
google_robot_open_drawer__seed001__step011,open_drawer,1,validation,40,14,1.25,50,0.43777814130980036,-0.05202964894235984,0.9392860771452232,0.9405505977997907,-0.0012645206545675025,0.8518518518518519,0.7857142857142857,0.06613756613756616
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,9,0.75,28,0.06563237407031529,-0.22784191571607443,0.9509581222290958,0.9863472655994188,-0.03538914337032295,0.8666666666666667,0.9310344827586207,-0.06436781609195397
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,11,0.75,28,0.13205431849876,-0.16141997128762972,0.9522985560023692,0.9706324012485784,-0.01833384524620918,0.9310344827586207,0.8666666666666667,0.06436781609195397
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,14,0.75,28,0.20813707117894495,-0.08533721860744478,0.9270121415027752,0.8230949975707728,0.10391714393200246,0.8666666666666667,0.8666666666666667,0.0
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,9,1.0,37,0.06014337092074059,-0.05461184665705309,0.9755669232385425,0.9755669232385425,0.0,0.9473684210526315,0.9473684210526315,0.0
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,11,1.0,37,0.16071480535555316,0.04595958777775948,0.963708365774378,0.951190879371027,0.012517486403351041,0.8974358974358975,0.85,0.04743589743589749
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,14,1.0,37,0.2020765512847035,0.08732133370690982,1.0,0.9437094857221057,0.05629051427789433,1.0,0.9473684210526315,0.052631578947368474
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,9,1.25,46,0.12509192505305813,-0.1350642275940442,0.9677234316217566,0.9009114607328025,0.06681197088895408,0.9166666666666666,0.9574468085106383,-0.04078014184397172
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,11,1.25,46,0.1684117808927106,-0.09174437175439173,0.955556734050767,0.9595028130975396,-0.003946079046772577,0.84,0.803921568627451,0.03607843137254896
google_robot_open_drawer__seed001__step056,open_drawer,1,validation,37,14,1.25,46,0.148814977624777,-0.11134117502232535,0.991242624237436,0.899299988299425,0.091942635938011,0.8775510204081632,0.9166666666666666,-0.03911564625850339
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,9,0.75,23,0.3482467634216624,0.45799099213075434,0.940031946295071,0.9078847267015405,0.03214721959353051,0.9166666666666666,0.84,0.07666666666666666
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,11,0.75,23,0.2382010189759672,0.3479452476850592,0.9697119344591464,0.9273465779243318,0.04236535653481455,0.9166666666666666,0.84,0.07666666666666666
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,14,0.75,23,0.2402627912702112,0.35000701997930317,0.9289361375102119,0.9289361375102119,0.0,0.9166666666666666,0.9166666666666666,0.0
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,9,1.0,31,0.36691526195122814,0.18394727475151287,0.9461388880662777,0.9721681496325775,-0.02602926156629981,0.9375,0.9375,0.0
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,11,1.0,31,0.256347726656244,0.07337973945652873,0.7506227604712475,0.7953976724980851,-0.04477491202683759,0.7714285714285715,0.6756756756756757,0.0957528957528958
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,14,1.0,31,0.4370733307384114,0.2541053435386962,1.0,0.8319764225311296,0.16802357746887042,1.0,0.8787878787878788,0.12121212121212122
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,9,1.25,39,0.3327473871105589,0.14056679264924407,0.9923639682557012,0.993484367255561,-0.0011203989998598285,0.95,0.95,0.0
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,11,1.25,39,0.4543320125031232,0.2621514180418084,0.8975875222312385,0.9003432041170735,-0.0027556818858349708,0.9024390243902439,0.8571428571428571,0.04529616724738683
google_robot_open_drawer__seed001__step101,open_drawer,1,validation,31,14,1.25,39,0.562143400001198,0.36996280553988314,0.8859515850500217,0.841107610337252,0.044843974712769685,0.95,0.9024390243902439,0.04756097560975603
