split,task,seed,layer,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,31,6,0.3635216076214624,0.39249544586980306,0.9837282564834794,0.9794041069864415,0.004324149497037892,0.9745782846281777,0.9398851739277271,0.03469311070045059
exploration,move_near,31,7,0.5069599455393989,0.5359337837877395,0.9634433395436686,0.9577366256427081,0.005706713900960447,0.9177251785947439,0.9222972972972974,-0.004572118702553474
exploration,move_near,31,8,0.3887045054358269,0.41767834368416756,0.977371557471443,0.9679630842112564,0.009408473260186493,0.9421837254066064,0.911370291085357,0.030813434321249316
exploration,move_near,31,9,0.43099346974118813,0.4599673079895288,0.9078456057304268,0.9604766134075912,-0.05263100767716422,0.9246662078890889,0.846695869560408,0.07797033832868101
exploration,move_near,31,10,0.4252902656729714,0.45426410392131206,0.9327150018469993,0.8956075405968181,0.037107461250181197,0.8820176905965148,0.8556967865723625,0.026320904024152103
exploration,move_near,31,11,0.47130655870037125,0.5002803969487118,0.9482486385499977,0.8768315533678734,0.07141708518212424,0.8678755285898143,0.7429971988795518,0.12487832971026251
exploration,move_near,31,12,0.3808788983775564,0.40985273662589705,0.9815492535199479,0.9528126012199317,0.02873665230001617,0.9279658339966895,0.8635327635327634,0.06443307046392599
exploration,move_near,31,13,0.4158675506446756,0.4448413888930163,0.9874327579762073,0.8908214769587316,0.0966112810174757,0.9494712103407755,0.8612006205991168,0.08827058974165873
exploration,move_near,31,14,0.4262454413636787,0.45521927961201936,0.9086156414208908,0.8236760807376996,0.08493956068319104,0.9140897932936367,0.8059901306060181,0.10809966268761866
exploration,move_near,31,15,0.4046259473999397,0.4335997856482803,0.9690971219049608,0.8730393854894426,0.09605773641551807,0.9501258293296728,0.8512799856784818,0.09884584365119091
exploration,move_near,31,16,0.38086864019748257,0.4098424784458232,0.9834292307442416,0.8375963223445387,0.14583290839970284,0.9501258293296728,0.8806306306306307,0.0694951986990422
exploration,move_near,31,17,0.3210856312620577,0.3500594695103983,0.9826219743210217,0.8999010424957002,0.08272093182532154,0.9745782846281777,0.8678755285898143,0.10670275603836339
exploration,move_near,31,18,0.41863288613240224,0.4476067243807429,0.8844900578349506,0.7717304065260996,0.11275965130885106,0.9560597661096591,0.9080706649777565,0.047989101131902655
exploration,move_near,31,19,0.38108083477143956,0.4100546730197802,0.9165483386461485,0.8071097689229436,0.1094385697232048,0.966988727858293,0.9080687830687829,0.058919944789510015
exploration,move_near,31,20,0.4180304379315484,0.4470042761798891,0.9841240783917398,0.9857215876136162,-0.0015975092218763292,0.945483351514207,0.9497354497354497,-0.004252098221242691
exploration,move_near,31,21,0.34715626272703876,0.3761301009753793,0.9312497240413036,0.8474073932446539,0.08384233079664975,0.9640018700327255,0.8843131183556716,0.07968875167705403
exploration,move_near,31,22,0.37404766430036135,0.403021502548702,0.9900594149982248,0.9850384868968908,0.005020928101334143,0.9560597661096591,0.9560597661096591,0.0
exploration,move_near,31,23,0.3349708123014444,0.36394465054978503,0.9882749367045283,0.985044796486014,0.0032301402185141623,0.9705525197328475,0.9705525197328475,0.0
exploration,move_near,31,24,0.36386366481750193,0.3928375030658426,0.9929941400608185,0.9798887643562625,0.01310537570455624,0.9814814814814815,0.9279658339966895,0.05351564748479195
exploration,move_near,31,25,0.3707507702184047,0.39972460846674523,0.9826182797802804,0.945603278479366,0.03701500130091436,0.9855072463768115,0.9560597661096591,0.02944748026715242
exploration,move_near,31,26,0.35639429286575175,0.38536813111409235,0.9912609947338303,0.979478863899618,0.011782130834212201,0.9745782846281777,0.9855072463768115,-0.010928961748633892
exploration,move_near,31,27,0.3234045616631991,0.3523783999115397,0.9911771831535763,0.9540392618774806,0.03713792127609572,0.9745782846281777,0.9716312056737588,0.0029470789544188505
exploration,move_near,31,28,0.3671838912437433,0.39615772949208394,0.9967806871197045,0.935048375436009,0.061732311683695494,0.9716312056737588,0.9745782846281777,-0.0029470789544188505
exploration,move_near,31,29,0.3825127477059654,0.41148658595430604,1.0,0.9701314136154594,0.029868586384540558,1.0,0.9560597661096591,0.04394023389034082
