partner_layer,alpha,group_type,group,states,episodes,target_control_states,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
21,0.9,l11_outcome,fail,51,17,3,-0.002684026008559881,0.9504734512526691,0.803921568627451,6.509803921568627,0.21568627450980393,0.9978445360276561,0.9991988031765691
21,0.9,l11_outcome,success,54,18,6,-0.0009732903252557765,0.9457295151181904,1.0185185185185186,7.222222222222222,0.46296296296296297,0.9977980362979112,0.9992219885684493
22,0.5,l11_outcome,fail,51,17,3,-0.04064422540494564,0.7090838514498833,4.176470588235294,8.568627450980392,2.2745098039215685,0.8973794365377745,0.988132534142061
22,0.5,l11_outcome,success,54,18,6,-0.02131360565725604,0.7641505632385359,4.444444444444445,8.722222222222221,1.962962962962963,0.914093438796005,0.9902346895848696
22,0.75,l11_outcome,fail,51,17,3,-0.01828789712862879,0.8505002969319091,2.0392156862745097,7.470588235294118,1.1764705882352942,0.9774787274635306,0.9955606484411113
22,0.75,l11_outcome,success,54,18,6,-0.009748373637172882,0.8790222105318994,2.2962962962962963,8.037037037037036,1.2777777777777777,0.9825627680316174,0.9967179194959435
22,0.9,l11_outcome,fail,51,17,3,-0.006902572697661559,0.9417344269194966,0.8823529411764706,6.627450980392157,0.3333333333333333,0.9967666944081514,0.9987063490994931
22,0.9,l11_outcome,success,54,18,6,-0.003714025367469868,0.9458352707160925,1.0555555555555556,7.2592592592592595,0.5,0.9975889336981846,0.9991317590049421
23,0.5,l11_outcome,fail,51,17,3,-0.030225229126639195,0.7520981633747578,3.450980392156863,8.176470588235293,1.8823529411764706,0.9522251379347477,0.9914658310108203
23,0.5,l11_outcome,success,54,18,6,-0.01800011910668853,0.8039254139212448,3.5925925925925926,8.462962962962964,1.7037037037037037,0.959451343522174,0.9921464383959375
23,0.75,l11_outcome,fail,51,17,3,-0.012678593066234936,0.8816411882073231,1.5294117647058822,7.0588235294117645,0.7647058823529411,0.9916582673829458,0.9969934958419163
23,0.75,l11_outcome,success,54,18,6,-0.007539011886447895,0.9017194070894754,1.8518518518518519,7.851851851851852,1.0925925925925926,0.9931734294679048,0.997409171731814
23,0.9,l11_outcome,fail,51,17,3,-0.0046335287561504734,0.9551253417103603,0.5882352941176471,6.431372549019608,0.13725490196078433,0.9989126933053311,0.9991877375807268
23,0.9,l11_outcome,success,54,18,6,-0.0027524473725355964,0.9571847078230618,0.8148148148148148,7.092592592592593,0.3333333333333333,0.9991214208046385,0.9993453588201384
24,0.5,l11_outcome,fail,51,17,3,-0.028649538142814828,0.7163221571320944,4.0,8.549019607843137,2.2549019607843137,0.9220405572320085,0.9910132495433512
24,0.5,l11_outcome,success,54,18,6,-0.015091133417511464,0.7613552159888634,4.37037037037037,8.962962962962964,2.2037037037037037,0.9185581615579598,0.9911463101777674
24,0.75,l11_outcome,fail,51,17,3,-0.012666781107756708,0.8487297282921833,1.9215686274509804,7.2745098039215685,0.9803921568627451,0.9846373673845434,0.9964878724435526
24,0.75,l11_outcome,success,54,18,6,-0.0067861119265239,0.8728196873687748,2.2777777777777777,7.962962962962963,1.2037037037037037,0.9834463540335945,0.9968053939582749
24,0.9,l11_outcome,fail,51,17,3,-0.004747520901177966,0.9355665443900446,0.7647058823529411,6.450980392156863,0.1568627450980392,0.9979019605751805,0.9989963266148755
24,0.9,l11_outcome,success,54,18,6,-0.002569416543533367,0.9472620974467842,0.9814814814814815,7.2592592592592595,0.5,0.9977091054395588,0.9991226989606907
25,0.5,l11_outcome,fail,51,17,3,-0.035352910293739805,0.6916054846563902,4.647058823529412,8.862745098039216,2.5686274509803924,0.9135097638928659,0.9890661674946928
25,0.5,l11_outcome,success,54,18,6,-0.02189177877201565,0.7414500842427798,4.87037037037037,9.37037037037037,2.611111111111111,0.9020193108906227,0.9896142619931673
25,0.75,l11_outcome,fail,51,17,3,-0.01519106260418584,0.8375815871572805,2.372549019607843,7.627450980392157,1.3333333333333333,0.9823917611835373,0.9955127396003031
25,0.75,l11_outcome,success,54,18,6,-0.009739106669319207,0.85879942535798,2.5555555555555554,8.166666666666666,1.4074074074074074,0.9799078644482562,0.9960157660664782
25,0.9,l11_outcome,fail,51,17,3,-0.005609338947821667,0.938349705156781,1.0,6.823529411764706,0.5294117647058824,0.997563498127343,0.9986173334634838
25,0.9,l11_outcome,success,54,18,6,-0.003658088359967015,0.9443466223890341,1.0740740740740742,7.314814814814815,0.5555555555555556,0.9972445635001144,0.9987686684596015
26,0.5,l11_outcome,fail,51,17,3,-0.03716767802750539,0.6966630732644685,4.745098039215686,8.764705882352942,2.4705882352941178,0.9037791024836456,0.98658668863517
26,0.5,l11_outcome,success,54,18,6,-0.02047502833553186,0.7224206036877362,5.296296296296297,9.685185185185185,2.925925925925926,0.8975158782794059,0.9864015093715823
26,0.75,l11_outcome,fail,51,17,3,-0.016423904865288923,0.8445079285723982,2.372549019607843,7.470588235294118,1.1764705882352942,0.9781349443342474,0.994780222400244
26,0.75,l11_outcome,success,54,18,6,-0.009139518442732954,0.8627496598325839,2.5925925925925926,8.37037037037037,1.6111111111111112,0.9772739718909662,0.9947935740444035
26,0.9,l11_outcome,fail,51,17,3,-0.006156489296799561,0.9340893297662167,0.9803921568627451,6.7254901960784315,0.43137254901960786,0.9967775811306199,0.9984310415628828
26,0.9,l11_outcome,success,54,18,6,-0.003440165689135407,0.9319465739081442,1.2962962962962963,7.425925925925926,0.6666666666666666,0.9967464867961057,0.9984410365962206
27,0.5,l11_outcome,fail,51,17,3,-0.032395194713302135,0.7346290726208486,3.9607843137254903,8.156862745098039,1.8627450980392157,0.955472355816397,0.9893178011076253
27,0.5,l11_outcome,success,54,18,6,-0.022345625157543302,0.7723229674508884,4.333333333333333,8.851851851851851,2.0925925925925926,0.9395003869187831,0.989630792600222
27,0.75,l11_outcome,fail,51,17,3,-0.013264582550278537,0.8727566708174669,1.8823529411764706,7.098039215686274,0.803921568627451,0.9921654207010503,0.9959374817677126
27,0.75,l11_outcome,success,54,18,6,-0.009621935099330523,0.8882653462106973,2.0925925925925926,7.87037037037037,1.1111111111111112,0.9892390845618512,0.9961159828717479
27,0.9,l11_outcome,fail,51,17,3,-0.004788417230454446,0.9554173665582081,0.7254901960784313,6.431372549019608,0.13725490196078433,0.9989784950579821,0.998844129091325
27,0.9,l11_outcome,success,54,18,6,-0.0035622142531476935,0.9510396171830524,0.9074074074074074,7.2407407407407405,0.48148148148148145,0.998599134580755,0.9988534408034719
28,0.5,l11_outcome,fail,51,17,3,-0.047278226353266485,0.6994785589762667,4.7254901960784315,8.647058823529411,2.3529411764705883,0.9339575880392227,0.9838858277346185
28,0.5,l11_outcome,success,54,18,6,-0.021734844962676178,0.7368583637145427,5.148148148148148,9.407407407407407,2.6481481481481484,0.9245038452029488,0.9845729434229377
28,0.75,l11_outcome,fail,51,17,3,-0.021250585806685443,0.8433300735657984,2.450980392156863,7.431372549019608,1.1372549019607843,0.9869179092612623,0.9933645834735814
28,0.75,l11_outcome,success,54,18,6,-0.009444870189714545,0.8683420795854245,2.6296296296296298,8.203703703703704,1.4444444444444444,0.984843657926646,0.9938274474835329
28,0.9,l11_outcome,fail,51,17,3,-0.008028224008280358,0.9347237778719764,1.0784313725490196,6.647058823529412,0.35294117647058826,0.9981995144703507,0.9979081255413584
