partner_layer,alpha,task,states,episodes,target_control_states,target_response,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
14,0.5,pick_coke_can,30,10,3,0.1538467779343138,-0.018098718591349826,0.6943209467320703,4.0,7.6,1.2,0.9264896307050589,0.9767058394369418
14,0.75,close_drawer,15,5,0,,,0.8355144822462858,2.066666666666667,3.8,-0.4,0.9753990206429974,0.9934237907225147
14,0.75,move_near,30,10,3,0.03070206912499024,-0.011313790074159153,0.8448395260482459,2.966666666666667,8.733333333333333,0.1,0.9820933759033849,0.9923249980926222
14,0.75,open_drawer,30,10,3,0.030117999491633667,-0.008615598469410528,0.8729188352477902,2.433333333333333,5.8,0.06666666666666667,0.9800792861109046,0.9924320735103378
14,0.75,pick_coke_can,30,10,3,0.16146065350896793,-0.010484843016695713,0.8046505958591776,2.433333333333333,7.0,0.6,0.97860967262023,0.9888841601815822
14,0.9,close_drawer,15,5,0,,,0.9346903570812489,0.8,4.0,-0.2,0.9952311324579706,0.9981956206607154
14,0.9,move_near,30,10,3,0.03700620668532068,-0.0050096525138287095,0.9250672658404733,1.3666666666666667,8.5,-0.13333333333333333,0.996682335578395,0.997904721713588
14,0.9,open_drawer,30,10,3,0.035029166532044055,-0.003704431429000134,0.9363689095915756,1.2333333333333334,5.933333333333334,0.2,0.9962097284985921,0.9978511005569541
14,0.9,pick_coke_can,30,10,3,0.1673044636233214,-0.004641032902342228,0.923385081383413,1.0,6.566666666666666,0.16666666666666666,0.9962589867736962,0.9964747367818719
15,0.5,close_drawer,15,5,0,,,0.7838230113230114,2.6666666666666665,5.133333333333334,0.9333333333333333,0.9607639658561983,0.9791283283741511
15,0.5,move_near,30,10,3,0.022642671907135353,-0.01937318729201404,0.7427336145569589,5.333333333333333,10.3,1.6666666666666667,0.9410079985315997,0.9800719319829098
15,0.5,open_drawer,30,10,3,0.01909408105786008,-0.01963951690318411,0.7529151148004968,5.066666666666666,7.266666666666667,1.5333333333333334,0.9390198479901365,0.9720219634546423
15,0.5,pick_coke_can,30,10,3,0.10490205720425762,-0.06704343932140601,0.7661639620879371,3.1333333333333333,7.733333333333333,1.3333333333333333,0.9386385877762643,0.9802390897993438
15,0.75,close_drawer,15,5,0,,,0.8974344294366313,1.4666666666666666,4.733333333333333,0.5333333333333333,0.990777656930986,0.9917956530861372
15,0.75,move_near,30,10,3,0.03187921941080846,-0.010136639788340935,0.8529801383788715,2.966666666666667,9.233333333333333,0.6,0.9847191700969989,0.9921046959639885
15,0.75,open_drawer,30,10,3,0.028683322378940484,-0.010050275582103705,0.8620344539913037,2.6666666666666665,6.566666666666666,0.8333333333333334,0.9850884577815539,0.989190437361715
15,0.75,pick_coke_can,30,10,3,0.13852053063465228,-0.033424965891011384,0.8729596488279163,1.7666666666666666,7.3,0.9,0.9867310987349869,0.990999489776455
15,0.9,close_drawer,15,5,0,,,0.944267146632738,0.6666666666666666,4.2,0.0,0.9985817259137042,0.9974254692149231
15,0.9,move_near,30,10,3,0.037833052816468093,-0.004182806382681298,0.9248421451242952,1.4333333333333333,8.8,0.16666666666666666,0.9975346421508731,0.9975677834363315
15,0.9,open_drawer,30,10,3,0.0346555306292251,-0.004078067331819095,0.9428957852698275,1.1,5.9,0.16666666666666666,0.9977106915266868,0.996752093347066
15,0.9,pick_coke_can,30,10,3,0.15856247887339017,-0.01338301765227345,0.94124869395618,0.8,6.633333333333334,0.23333333333333334,0.9980839309961517,0.9968544718471045
16,0.5,close_drawer,15,5,0,,,0.6724508328763649,4.4,5.866666666666666,1.6666666666666667,0.9391007517122001,0.965262359807736
16,0.5,move_near,30,10,3,0.024293898791905372,-0.01772196040724402,0.7392547736343505,5.3,10.466666666666667,1.8333333333333333,0.9529364489704933,0.9891850967040512
16,0.5,open_drawer,30,10,3,0.019488316759739197,-0.019245281201304996,0.7238574979519815,5.766666666666667,7.8,2.066666666666667,0.9285742926507697,0.965642380979629
16,0.5,pick_coke_can,30,10,3,0.11872207517443188,-0.053223421351231766,0.7413581934477038,3.6333333333333333,7.766666666666667,1.3666666666666667,0.9436032303399994,0.978182507438773
16,0.75,close_drawer,15,5,0,,,0.8306935602523837,2.2,5.266666666666667,1.0666666666666667,0.9852901038491212,0.9851892595559624
16,0.75,move_near,30,10,3,0.03356236094075318,-0.008453498258396211,0.8622016242846701,2.6,9.366666666666667,0.7333333333333333,0.9898309270024066,0.9968250743877316
16,0.75,open_drawer,30,10,3,0.02847424875177185,-0.010259349209272337,0.8565564008882652,2.8666666666666667,6.766666666666667,1.0333333333333334,0.9843316983215689,0.9859349965667199
16,0.75,pick_coke_can,30,10,3,0.14572155922638516,-0.026223937299278476,0.8667395514411425,2.033333333333333,6.966666666666667,0.5666666666666667,0.987907865149894,0.9913883325703822
16,0.9,close_drawer,15,5,0,,,0.9321197988857649,0.9333333333333333,4.6,0.4,0.9977366818258393,0.9952203498130767
16,0.9,move_near,30,10,3,0.0387248173570622,-0.0032910418420871953,0.9388643889576586,1.1,8.766666666666667,0.13333333333333333,0.9985195444921894,0.9992937457083998
16,0.9,open_drawer,30,10,3,0.034481734117368476,-0.004251863843675714,0.9232669751838839,1.5,6.2,0.4666666666666667,0.9977348868102288,0.9953825484473942
16,0.9,pick_coke_can,30,10,3,0.16154103992936922,-0.010404456596294418,0.9514600717139934,0.8333333333333334,6.533333333333333,0.13333333333333333,0.9982573078138638,0.997595225833524
17,0.5,close_drawer,15,5,0,,,0.7194394898693225,3.3333333333333335,5.533333333333333,1.3333333333333333,0.9406589343905102,0.9880469882505529
17,0.5,move_near,30,10,3,0.02624968408874977,-0.015766175110399624,0.7249124230471556,5.733333333333333,11.0,2.3666666666666667,0.9235099048536484,0.9871707627603569
17,0.5,open_drawer,30,10,3,0.02340244997220635,-0.015331147988837843,0.7313125279038964,5.4,7.233333333333333,1.5,0.9371702176531899,0.9849935149156938
17,0.5,pick_coke_can,30,10,3,0.13564145343541503,-0.036304043090248594,0.7091750056196708,3.8,8.166666666666666,1.7666666666666666,0.9394618957720928,0.9892791304264894
17,0.75,close_drawer,15,5,0,,,0.8892571497270935,1.4666666666666666,4.666666666666667,0.4666666666666667,0.986581999162239,0.9963226234073396
17,0.75,move_near,30,10,3,0.033968727062380195,-0.008047132136769197,0.8413036893835464,2.966666666666667,9.766666666666667,1.1333333333333333,0.980449456320246,0.9960536831464101
17,0.75,open_drawer,30,10,3,0.03137462610574731,-0.007358971855296888,0.8378759944119769,3.066666666666667,6.866666666666666,1.1333333333333333,0.9867727665888116,0.9953450684748605
