partner_layer,alpha,states,target_control_states,target_response,target_response_l11,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,largest_component_ratio,score_cosine_l11,rank_correlation_l11,open_target_delta,pick_target_delta,move_target_delta,task_nonharm_fraction,complement_score,strict_candidate,relaxed_candidate
21,0.9,105,9,0.08268811567559525,0.08423165122861907,-0.0015435355530238114,0.9480337126692229,0.9142857142857143,0.9142857142857143,0.02729038614806483,6.876190476190477,0.34285714285714286,0.11207413362081348,0.5945707550044032,0.9978206218809303,0.9992107270923932,-0.0012815115647852662,-0.0014345144462856267,-0.0019145806480005412,1.0,0.9634125916283505,0,0
22,0.5,105,9,0.056474505655466495,0.08423165122861907,-0.02775714557315257,0.737403874655476,4.314285714285714,4.314285714285714,0.15659117774075768,8.647619047619047,2.1142857142857143,0.17162710973767495,0.519874613494434,0.9059752091277214,0.9892136426555056,-0.014301342266108028,-0.05751634457074654,-0.011453749882603151,0.0,0.3493161786021585,0,0
22,0.75,105,9,0.0716367697609609,0.08423165122861907,-0.012594881467658183,0.8651687096404758,2.1714285714285713,2.1714285714285713,0.07440441887354247,7.761904761904762,1.2285714285714286,0.14529751526150278,0.5705641755907191,0.9800933768985467,0.9961558164121679,-0.006409276415810432,-0.026487592455819234,-0.004887775531344884,0.0,0.532851680816966,0,0
22,0.9,105,9,0.07945477675108531,0.08423165122861907,-0.004776874477533765,0.9438434323006031,0.9714285714285714,0.9714285714285714,0.029718397814980053,6.9523809523809526,0.41904761904761906,0.11440718956639065,0.5917601835188779,0.99718956032874,0.9989251313365811,-0.0024155221302948255,-0.010121543531487665,-0.0017935577708188034,0.3333333333333333,0.7641853785619847,0,0
23,0.5,105,9,0.06215649544861365,0.08423165122861907,-0.02207515578000542,0.7787521779415226,3.5238095238095237,3.5238095238095237,0.1289032237635192,8.323809523809524,1.7904761904761906,0.1639309676793032,0.5333355747522279,0.9559414722368529,0.9918158576660234,-0.012437007583855983,-0.04198469220237366,-0.011803767553786622,0.0,0.4199712956960797,0,0
23,0.75,105,9,0.07497944561557551,0.08423165122861907,-0.009252205613043575,0.8919671293467155,1.6952380952380952,1.6952380952380952,0.058595555859318235,7.466666666666667,0.9333333333333333,0.13243256656159308,0.5692435313611556,0.9924374935980674,0.9972072720138638,-0.005549200052010682,-0.017342980358850072,-0.0048644364282699705,0.0,0.6178314812158457,0,0
23,0.9,105,9,0.08085217672821185,0.08423165122861907,-0.003379474500407222,0.9561844442826067,0.7047619047619048,0.7047619047619048,0.02307137511474341,6.771428571428571,0.23809523809523808,0.10784754767560321,0.6008257312529491,0.9990200388764033,0.999268799932424,-0.0020828686437039667,-0.006294439087383766,-0.001761115770133934,0.3333333333333333,0.8336821336269963,0,0
24,0.5,105,9,0.06462104956933983,0.08423165122861907,-0.019610601659279255,0.7394820159727183,4.190476190476191,4.190476190476191,0.1556310912195657,8.761904761904763,2.2285714285714286,0.18150557185297517,0.5165155169761303,0.9202496108853548,0.9910816807267652,-0.012840536897834154,-0.035021865574780084,-0.010969402505223519,0.0,0.4167362189918717,0,0
24,0.75,105,9,0.07548531624168424,0.08423165122861907,-0.008746334986934837,0.8611188501030017,2.104761904761905,2.104761904761905,0.07710065213145023,7.628571428571429,1.0952380952380953,0.1407637816112572,0.5630613126861502,0.9840248462326266,0.9966511692225527,-0.005867004082496351,-0.015705540127329397,-0.004666460750978762,0.0,0.6103253029586203,0,0
24,0.9,105,9,0.08093619989920417,0.08423165122861907,-0.0032954513294149,0.9415814002477965,0.8761904761904762,0.8761904761904762,0.031187058688052875,6.866666666666666,0.3333333333333333,0.11359900116236646,0.5938212779558543,0.9978027779340037,0.9990613181070092,-0.0022385287098870116,-0.005933749294553541,-0.001714075983804147,0.3333333333333333,0.8323145352299282,0,0
25,0.5,105,9,0.05785282861602871,0.08423165122861907,-0.026378822612590367,0.7172398501579621,4.761904761904762,4.761904761904762,0.17020916581967263,9.123809523809523,2.5904761904761906,0.1840650603884461,0.4966524319592362,0.9076003880631409,0.9893480446653369,-0.013529812026934207,-0.05123853134254958,-0.014368124468287315,0.0,0.34312803880803067,0,0
