state_id,task,seed,step,phase,true_entity_count,true_distinct_group_count,arm,count,selected_attention_mass,feature_perturbation_relative,jaccard_vs_true
google_robot_open_drawer__seed032__step056,google_robot_open_drawer,32,56,middle,1,1,true_scale_150,38,0.6068000187891508,0.322528711434821,0.6578947368421053
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,true_matched,30,0.5212396017747585,0.28466689579743576,1.0
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,wrong_entity,30,0.5212396017747585,0.28466689579743576,1.0
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,random_cluster,36,0.5849391069969018,0.30948238063354994,0.8333333333333334
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,source_only,30,0.5212396017747585,0.28466689579743576,1.0
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,target_only,30,0.5212396017747585,0.28466689579743576,1.0
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,top_p80,64,0.7950109915245955,0.42260732438037896,0.46875
google_robot_open_drawer__seed032__step101,google_robot_open_drawer,32,101,late,1,1,true_scale_150,45,0.6677296904953588,0.33184860956135825,0.6666666666666666
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,true_matched,47,0.9058586482837659,0.3658158492849658,1.0
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,wrong_entity,59,0.9376590086959553,0.43325747803363107,0.7966101694915254
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,random_cluster,28,0.7788612497735729,0.26069716676660437,0.5957446808510638
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,source_only,47,0.9058586482837659,0.3658158492849658,1.0
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,target_only,47,0.9058586482837659,0.3658158492849658,1.0
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,top_p80,31,0.808430680142997,0.2709018036871356,0.6595744680851063
google_robot_open_drawer__seed095__step011,google_robot_open_drawer,95,11,early,1,1,true_scale_150,70,0.9551431560599908,0.4827020520554572,0.6714285714285714
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,true_matched,47,0.9177786297320791,0.3645939187053256,1.0
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,wrong_entity,41,0.9015122670136624,0.3468818105883948,0.8723404255319149
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,random_cluster,12,0.6978187347969581,0.1842101462741699,0.2553191489361702
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,source_only,47,0.9177786297320791,0.3645939187053256,1.0
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,target_only,47,0.9177786297320791,0.3645939187053256,1.0
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,top_p80,20,0.8031224056157963,0.24907739802768505,0.425531914893617
google_robot_open_drawer__seed095__step056,google_robot_open_drawer,95,56,middle,1,1,true_scale_150,70,0.9503519417220186,0.44240377727861024,0.6714285714285714
