split,task,seed,layer,scale,mean_count,top_alignment,top_minus_random,synonym_residual_cosine,target_residual_cosine,semantic_separation,synonym_mask_jaccard,target_mask_jaccard,mask_jaccard_separation
exploration,move_near,31,9,1.25,58.333333333333336,0.41184767247709636,0.13288524212912342,0.9398542453689455,0.950100081360045,-0.010245835991099553,0.9478482531114111,0.8672896538373546,0.08055859927405644
exploration,move_near,31,11,0.75,35.0,0.4034863653978416,0.09327321928415054,0.9590719411393214,0.8707577633253738,0.08831417781394757,0.8595813204508856,0.7403363661428178,0.11924495430806788
exploration,move_near,31,11,1.0,46.666666666666664,0.47130655870037125,0.18277138339913848,0.9482486385499977,0.8768315533678734,0.07141708518212424,0.8678755285898143,0.7429971988795518,0.12487832971026251
exploration,move_near,31,11,1.25,58.333333333333336,0.4497695377343485,0.17080710738637558,0.8859176806249036,0.8097025564337885,0.07621512419111509,0.9009290226681531,0.7960280886548169,0.10490093401333637
exploration,move_near,31,14,0.75,35.0,0.4390519224443418,0.12883877633065066,0.9694105202737937,0.8353113076000261,0.13409921267376765,0.8736772486772487,0.7459459459459459,0.12773130273130273
exploration,move_near,31,14,1.0,46.666666666666664,0.4262454413636787,0.137710266062446,0.9086156414208908,0.8236760807376996,0.08493956068319104,0.9140897932936367,0.8059901306060181,0.10809966268761866
exploration,move_near,31,14,1.25,58.333333333333336,0.43784682392881075,0.15888439358083772,0.9852355725146609,0.832964025670358,0.1522715468443028,0.9505466564963133,0.877187332259796,0.07335932423651721
exploration,move_near,73,9,0.75,38.333333333333336,0.4468458385409151,0.2096201872368368,0.8074671256174698,0.8544972017791101,-0.047030076161640344,0.8640993265993266,0.8470823095823096,0.017017017017017005
exploration,move_near,73,9,1.0,51.333333333333336,0.5305332153059618,0.3385450254566926,0.9171349428810408,0.9179536823164658,-0.0008187394354249496,0.9073359073359074,0.8880734942378777,0.019262413098029563
exploration,move_near,73,9,1.25,64.33333333333333,0.5250107854644867,0.33500509724249433,0.9912483592070647,0.956469332515093,0.0347790266919716,0.9364824717765895,0.9017471341937782,0.03473533758281122
exploration,move_near,73,11,0.75,38.333333333333336,0.49866719803173937,0.26144154672766107,0.99123325068162,0.7283642301673002,0.26286902051431976,0.9249213836477987,0.7928432191590087,0.1320781644887901
exploration,move_near,73,11,1.0,51.333333333333336,0.2986894373268652,0.10670124747759617,0.8494813277914023,0.6979804900422358,0.15150083774916653,0.8988855704883579,0.7843481252149983,0.11453744527335967
exploration,move_near,73,11,1.25,64.33333333333333,0.28592210898698434,0.09591642076499209,0.9787145781057807,0.6784727604171494,0.3002418176886312,0.9439711516790625,0.8271348022619928,0.11683634941706966
exploration,move_near,73,14,0.75,38.333333333333336,0.5177969480728704,0.2805712967687921,0.9465352947896709,0.7776962089461718,0.16883908584349913,0.9340388007054674,0.7295716769400981,0.20446712376536938
