dataset,task,seed,step,state_id,outcome_group,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.75,corners,19,0.8095238095238095,0.8947368421052632,2,2,5,0.10526315789473684,0.47368421052631576,0.8095238095238095,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.75,gaussian,19,0.5833333333333334,0.7368421052631579,5,5,1,0.0,1.0,0.7272727272727273,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.75,both,19,0.5833333333333334,0.7368421052631579,5,5,1,0.0,1.0,0.7272727272727273,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.5,raw,19,0.5833333333333334,0.7368421052631579,5,5,7,0.21052631578947367,0.5263157894736842,0.8095238095238095,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.5,corners,19,0.5833333333333334,0.7368421052631579,5,5,7,0.21052631578947367,0.5263157894736842,0.8095238095238095,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.5,gaussian,19,0.46153846153846156,0.631578947368421,7,7,1,0.0,1.0,0.8095238095238095,,,
cached_90,move_near,98,71,google_robot_move_near__seed098__step071,both_success,0.5,both,19,0.46153846153846156,0.631578947368421,7,7,1,0.0,1.0,0.8095238095238095,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,1.0,raw,42,1.0,1.0,0,0,12,0.11904761904761904,0.2619047619047619,1.0,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,1.0,corners,42,0.9534883720930233,0.9761904761904762,1,1,11,0.09523809523809523,0.2619047619047619,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,1.0,gaussian,42,0.6153846153846154,0.7619047619047619,10,10,8,0.07142857142857142,0.42857142857142855,0.8666666666666667,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,1.0,both,42,0.6153846153846154,0.7619047619047619,10,10,8,0.07142857142857142,0.42857142857142855,0.8666666666666667,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.9,raw,42,0.9090909090909091,0.9523809523809523,2,2,11,0.09523809523809523,0.2619047619047619,0.9090909090909091,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.9,corners,42,0.9090909090909091,0.9523809523809523,2,2,10,0.07142857142857142,0.2619047619047619,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.9,gaussian,42,0.6470588235294118,0.7857142857142857,9,9,9,0.09523809523809523,0.42857142857142855,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.9,both,42,0.6470588235294118,0.7857142857142857,9,9,9,0.09523809523809523,0.42857142857142855,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.75,raw,42,0.7872340425531915,0.8809523809523809,5,5,12,0.11904761904761904,0.2857142857142857,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.75,corners,42,0.7872340425531915,0.8809523809523809,5,5,11,0.09523809523809523,0.2857142857142857,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.75,gaussian,42,0.7142857142857143,0.8333333333333334,7,7,10,0.09523809523809523,0.38095238095238093,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.75,both,42,0.7142857142857143,0.8333333333333334,7,7,10,0.09523809523809523,0.38095238095238093,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.5,raw,42,0.7142857142857143,0.8333333333333334,7,7,12,0.11904761904761904,0.2619047619047619,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.5,corners,42,0.7142857142857143,0.8333333333333334,7,7,12,0.11904761904761904,0.2619047619047619,0.9534883720930233,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.5,gaussian,42,0.6470588235294118,0.7857142857142857,9,9,9,0.047619047619047616,0.35714285714285715,1.0,,,
cached_90,move_near,99,8,google_robot_move_near__seed099__step008,sparse_win,0.5,both,42,0.6470588235294118,0.7857142857142857,9,9,10,0.09523809523809523,0.38095238095238093,0.9534883720930233,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,1.0,raw,9,1.0,1.0,0,0,2,0.1111111111111111,0.8888888888888888,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,1.0,corners,9,1.0,1.0,0,0,2,0.1111111111111111,0.8888888888888888,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,1.0,gaussian,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,1.0,both,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.9,raw,9,1.0,1.0,0,0,2,0.1111111111111111,0.8888888888888888,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.9,corners,9,1.0,1.0,0,0,2,0.1111111111111111,0.8888888888888888,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.9,gaussian,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.9,both,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.75,raw,9,0.6363636363636364,0.7777777777777778,2,2,2,0.0,0.7777777777777778,0.8,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.75,corners,9,0.6363636363636364,0.7777777777777778,2,2,2,0.0,0.7777777777777778,0.8,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.75,gaussian,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.75,both,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.5,raw,9,0.6363636363636364,0.7777777777777778,2,2,2,0.0,0.7777777777777778,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.5,corners,9,0.6363636363636364,0.7777777777777778,2,2,2,0.0,0.7777777777777778,1.0,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.5,gaussian,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,0.8,,,
cached_90,move_near,99,40,google_robot_move_near__seed099__step040,sparse_win,0.5,both,9,0.6363636363636364,0.7777777777777778,2,2,1,0.0,1.0,0.8,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,1.0,raw,27,1.0,1.0,0,0,8,0.1111111111111111,0.3333333333333333,0.8,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,1.0,corners,27,1.0,1.0,0,0,8,0.1111111111111111,0.3333333333333333,0.8,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,1.0,gaussian,27,0.5882352941176471,0.7407407407407407,7,7,5,0.07407407407407407,0.5925925925925926,0.9285714285714286,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,1.0,both,27,0.5882352941176471,0.7407407407407407,7,7,5,0.07407407407407407,0.5925925925925926,0.9285714285714286,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.9,raw,27,0.8,0.8888888888888888,3,3,6,0.1111111111111111,0.48148148148148145,1.0,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.9,corners,27,0.8,0.8888888888888888,3,3,6,0.1111111111111111,0.48148148148148145,1.0,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.9,gaussian,27,0.5,0.6666666666666666,9,9,5,0.07407407407407407,0.6296296296296297,0.9285714285714286,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.9,both,27,0.5,0.6666666666666666,9,9,5,0.07407407407407407,0.6296296296296297,0.9285714285714286,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.75,raw,27,0.7419354838709677,0.8518518518518519,4,4,7,0.14814814814814814,0.4444444444444444,1.0,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.75,corners,27,0.7419354838709677,0.8518518518518519,4,4,7,0.14814814814814814,0.4444444444444444,1.0,,,
cached_90,move_near,99,71,google_robot_move_near__seed099__step071,sparse_win,0.75,gaussian,27,0.5,0.6666666666666666,9,9,4,0.037037037037037035,0.6296296296296297,0.9285714285714286,,,
