task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,both_success,0.75,gaussian,27,0.6818896000152841,0.8087292582234598,7.296296296296297,7.296296296296297,3.7777777777777777,0.03298669405721389,0.7906060754906933,0.9144993318512307,0.023552960340854245,0.024448419797257006,1.0
ALL,both_success,0.75,raw,27,0.8707655633880406,0.9296481802593622,2.5925925925925926,2.5925925925925926,7.518518518518518,0.10737248142497971,0.6001050110049699,0.9083560378657329,0.028893293821851327,0.04949314251639833,1.0
ALL,both_success,0.9,both,27,0.7049555998908278,0.8246993284206129,6.703703703703703,6.703703703703703,3.6296296296296298,0.029488207164820243,0.817521413780271,0.9187367287635487,0.028175432265281703,0.043679189028026234,1.0
ALL,both_success,0.9,corners,27,0.9342603131397959,0.9653415273528436,1.2592592592592593,1.2592592592592593,7.2592592592592595,0.10492153422689542,0.6185882209988219,0.9056019239992379,0.03488523147532227,0.04427549194991055,1.0
ALL,both_success,0.9,gaussian,27,0.705887051376414,0.8253270748110713,6.666666666666667,6.666666666666667,3.7037037037037037,0.030214423577311165,0.8098899870727392,0.9192552581902517,0.02812856612910271,0.043679189028026234,1.0
ALL,both_success,0.9,raw,27,0.9354948810410305,0.9659692737433019,1.2222222222222223,1.2222222222222223,7.333333333333333,0.10563378493914613,0.6164235374615893,0.9049984664462788,0.03482870734230365,0.04427549194991055,1.0
ALL,both_success,1.0,both,27,0.7052089673034487,0.824409118469903,6.62962962962963,6.62962962962963,3.4814814814814814,0.02889117194110203,0.8292436764439898,0.9002114013657069,0.03170282421048328,0.05649970184853906,1.0
ALL,both_success,1.0,corners,27,0.994572559981365,0.9972075700723093,0.14814814814814814,0.14814814814814814,7.148148148148148,0.10184696981785095,0.6298708916577657,0.9030521421559269,0.03947277203588306,0.05008944543828265,1.0
ALL,both_success,1.0,gaussian,27,0.7061138058894468,0.8250368648603612,6.592592592592593,6.592592592592593,3.5555555555555554,0.031619390355594953,0.8285174600314988,0.9013669725900247,0.031649578988928194,0.05649970184853906,1.0
ALL,both_success,1.0,raw,27,1.0,1.0,0.0,0.0,7.222222222222222,0.10265769055213435,0.6276077380985003,0.9019224528582596,0.039408589077610696,0.05008944543828265,1.0
