task,seed,success,steps,mean_m_t,std_m_t,cv_m_t,min_m_t,max_m_t,range_m_t,mean_abs_step_change,early_mean_m_t,middle_mean_m_t,late_mean_m_t
pick_coke_can,183,1,80,27.15,19.38240181195303,0.7139006192247894,3,87,84,18.417721518987342,28.666666666666668,27.85185185185185,24.846153846153847
pick_coke_can,184,0,80,52.1875,15.575697215534205,0.2984564735910746,6,73,67,10.987341772151899,40.81481481481482,57.407407407407405,58.57692307692308
pick_coke_can,185,1,80,22.7875,6.512859874893671,0.2858084421236937,8,39,31,6.151898734177215,21.62962962962963,21.22222222222222,25.615384615384617
pick_coke_can,186,0,80,25.9,9.999499987499375,0.3860810805984315,6,50,44,10.886075949367088,28.814814814814813,27.88888888888889,20.807692307692307
pick_coke_can,187,0,80,27.4875,16.304902445277005,0.593175168541228,3,79,76,7.860759493670886,28.703703703703702,36.74074074074074,16.615384615384617
pick_coke_can,188,0,80,18.3375,2.534480962643042,0.1382130040977801,15,35,20,1.2531645569620253,19.48148148148148,17.666666666666668,17.846153846153847
pick_coke_can,189,0,80,22.5375,3.9049447819399448,0.17326432754031923,8,33,25,2.9746835443037973,22.074074074074073,23.59259259259259,21.923076923076923
pick_coke_can,190,1,80,25.95,16.577771261541763,0.6388351160517057,3,80,77,16.31645569620253,30.814814814814813,26.25925925925926,20.576923076923077
pick_coke_can,191,1,80,32.0125,9.247288453919884,0.28886492632315136,6,64,58,7.886075949367089,32.25925925925926,31.296296296296298,32.5
pick_coke_can,192,0,80,35.1625,16.886713527208304,0.48024780738594536,6,76,70,13.69620253164557,22.59259259259259,42.51851851851852,40.57692307692308
pick_coke_can,193,1,80,24.7,11.275415735129236,0.45649456417527273,6,79,73,9.291139240506329,29.51851851851852,22.37037037037037,22.115384615384617
pick_coke_can,194,0,80,26.2625,18.631789869736078,0.7094446404468759,3,81,78,19.632911392405063,27.814814814814813,22.37037037037037,28.692307692307693
pick_coke_can,195,0,80,27.325,13.481260141396278,0.4933672512862316,11,71,60,14.772151898734178,23.0,31.11111111111111,27.884615384615383
pick_coke_can,196,1,80,17.4625,7.344970643236092,0.42061392373578194,6,41,35,6.6835443037974684,19.74074074074074,18.48148148148148,14.038461538461538
pick_coke_can,197,0,80,25.3125,16.41081484113449,0.6483284875509921,5,79,74,14.278481012658228,28.444444444444443,26.185185185185187,21.153846153846153
pick_coke_can,198,0,80,18.9375,9.926408905037109,0.524166806866646,6,74,68,9.79746835443038,20.037037037037038,19.074074074074073,17.653846153846153
pick_coke_can,199,0,80,24.1375,5.330909279850859,0.220855899734888,14,40,26,5.30379746835443,25.14814814814815,23.037037037037038,24.23076923076923
move_near,100,1,80,33.3625,26.879008422000986,0.8056652955264441,10,97,87,19.27848101265823,39.370370370370374,35.55555555555556,24.846153846153847
move_near,101,0,80,52.7125,27.398993480600705,0.5197817117495984,17,105,88,25.27848101265823,52.333333333333336,50.888888888888886,55.0
move_near,102,0,80,57.5,21.063594185228695,0.3663233771344121,8,91,83,16.037974683544302,50.074074074074076,70.25925925925925,51.96153846153846
move_near,103,0,80,48.075,10.456786074124304,0.21750985073581494,16,69,53,10.417721518987342,44.333333333333336,50.03703703703704,49.92307692307692
move_near,104,0,80,44.575,20.72665855848453,0.4649839272795183,17,93,76,21.759493670886076,40.96296296296296,46.925925925925924,45.88461538461539
move_near,105,0,80,57.5,21.063594185228695,0.3663233771344121,8,91,83,16.037974683544302,50.074074074074076,70.25925925925925,51.96153846153846
move_near,106,1,80,37.575,12.810908437733836,0.34094234032558446,18,71,53,10.91139240506329,30.296296296296298,36.44444444444444,46.30769230769231
move_near,107,0,80,46.3125,22.291026081138572,0.4813177021568383,8,86,78,19.40506329113924,44.074074074074076,54.03703703703704,40.61538461538461
move_near,108,1,80,32.0625,23.249915994471895,0.7251435787749518,14,91,77,13.0,51.96296296296296,18.444444444444443,25.53846153846154
move_near,109,0,80,46.4625,25.09927476541902,0.5402049989866886,8,87,79,21.0,30.11111111111111,46.18518518518518,63.73076923076923
move_near,110,0,80,57.5,21.063594185228695,0.3663233771344121,8,91,83,16.037974683544302,50.074074074074076,70.25925925925925,51.96153846153846
move_near,111,0,80,29.525,19.080077961056656,0.6462346472838834,8,77,69,17.468354430379748,34.111111111111114,32.55555555555556,21.615384615384617
move_near,112,1,80,50.225,14.724957555117095,0.2931798418141781,22,92,70,13.240506329113924,41.48148148148148,54.48148148148148,54.88461538461539
move_near,113,0,80,47.2625,19.322748090010386,0.40883889108723376,12,100,88,20.82278481012658,45.7037037037037,51.148148148148145,44.84615384615385
move_near,114,1,80,31.425,10.861370769843004,0.3456283458979476,9,60,51,6.949367088607595,39.074074074074076,26.62962962962963,28.46153846153846
