task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,38,middle,both_success,56,42,1,0.9333333333333333,0.9595034329313272,0.0,0,-3.15728759765625,-3.40478515625,-1,0.0,0.0,0.0,0
close_drawer,38,late,both_success,99,4,0,0.08888888888888889,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,39,early,both_success,13,26,2,0.8571428571428571,0.7734878139370691,0.023080892063444547,3,-1.092193603515625,1.5408935546875,-1,0.0,0.023080892063444547,0.023080892063444547,0
close_drawer,39,middle,both_success,56,53,1,0.8275862068965517,0.9988064599315656,0.0,0,-0.381805419921875,-0.4585418701171875,-1,-0.018867924528301883,0.0,0.0,0
close_drawer,39,late,both_success,99,53,1,0.8275862068965517,0.999094254422961,0.0,0,-0.362548828125,0.272979736328125,-2,-0.018867924528301883,0.0,0.0,0
close_drawer,40,early,both_success,13,21,1,1.0,0.9964469635340316,0.0,0,-3.7047882080078125,1.5102996826171875,0,-0.047619047619047616,0.0,0.0,0
close_drawer,40,middle,both_success,56,21,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,40,late,both_success,99,32,1,0.7804878048780488,0.9888375002988601,0.0,0,0.8350677490234375,3.0194091796875,1,0.03125,0.0,0.0,0
close_drawer,41,early,both_success,13,44,0,0.9090909090909091,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,41,middle,both_success,56,34,1,0.7804878048780488,0.9951145177275589,0.0,0,0.3613433837890625,-0.9181060791015625,-1,-0.029411764705882346,0.0,0.0,0
close_drawer,41,late,both_success,99,48,2,0.8431372549019608,0.9459666572659152,0.0,0,-1.339935302734375,-4.88330078125,0,-0.020833333333333343,0.0,0.0,0
close_drawer,42,early,both_success,13,23,1,1.0,0.9866038572877657,0.0,0,-1.9473495483398438,0.896636962890625,0,0.0,0.0,0.0,0
close_drawer,42,middle,both_success,56,47,0,0.851063829787234,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,42,late,both_success,99,49,1,0.9019607843137255,0.9979933689639794,0.0,0,0.72601318359375,-2.0544891357421875,1,0.020408163265306117,0.0,0.0,0
close_drawer,43,early,both_success,13,29,1,0.8529411764705882,0.996333560632156,0.0,0,-0.6197509765625,2.5223846435546875,-1,-0.034482758620689655,0.0,0.0,0
close_drawer,43,middle,both_success,56,36,1,0.9230769230769231,0.9569846603320338,0.06706079889980016,1,-2.3729705810546875,12.12200927734375,0,0.0,0.06706079889980016,0.06706079889980016,0
close_drawer,43,late,both_success,99,48,0,0.8846153846153846,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,44,early,both_success,13,36,0,0.9444444444444444,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,44,middle,both_success,56,31,1,0.6458333333333334,0.9913212941619467,0.0,0,-2.0992889404296875,-0.021240234375,0,0.0,0.0,0.0,0
close_drawer,44,late,both_success,99,49,1,0.9019607843137255,0.9984895884609897,0.0,0,-0.2794952392578125,0.7572479248046875,1,0.020408163265306117,0.0,0.0,0
close_drawer,45,early,both_success,13,29,0,0.896551724137931,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,45,middle,both_success,56,50,0,0.68,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,45,late,both_success,99,47,0,0.723404255319149,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,46,early,harm,13,46,0,0.717391304347826,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,46,middle,harm,56,4,0,0.08888888888888889,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,46,late,harm,99,34,1,0.75,0.9975536060972444,0.0,0,0.049713134765625,-1.3377532958984375,-2,-0.029411764705882346,0.0,0.0,0
close_drawer,47,early,both_success,13,71,0,0.23943661971830985,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,47,middle,both_success,56,40,0,0.375,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,47,late,both_success,99,40,1,0.9090909090909091,0.9982691822148373,0.0,0,0.2129974365234375,0.13287353515625,0,0.0,0.0,0.0,0
close_drawer,48,early,both_success,13,36,0,0.9444444444444444,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,48,middle,both_success,56,31,1,0.6458333333333334,0.9913212941619467,0.0,0,-2.0992889404296875,-0.021240234375,0,0.0,0.0,0.0,0
close_drawer,48,late,both_success,99,49,1,0.9019607843137255,0.9984895884609897,0.0,0,-0.2794952392578125,0.7572479248046875,1,0.020408163265306117,0.0,0.0,0
close_drawer,49,early,rescue,13,16,0,0.8823529411764706,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,49,middle,rescue,56,10,0,0.6666666666666666,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,49,late,rescue,99,18,0,0.8421052631578947,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,50,early,both_success,13,29,1,0.8529411764705882,0.996333560632156,0.0,0,-0.6197509765625,2.5223846435546875,-1,-0.034482758620689655,0.0,0.0,0
close_drawer,50,middle,both_success,56,36,1,0.9230769230769231,0.9569846603320338,0.06706079889980016,1,-2.3729705810546875,12.12200927734375,0,0.0,0.06706079889980016,0.06706079889980016,0
