state_id,task,seed,source_step,phase,split,arm,m,standard_overlap,v1_overlap,num_components,isolated_token_ratio,largest_component_ratio,feature_perturbation_total,selected_mean_relative_perturbation,centered_residual_norm,winner_flip_count
google_robot_move_near__seed098__step071,google_robot_move_near,98,71,late,exploration,standard_shr,19,1.0,0.21052631578947367,1,0.0,1.0,126.76043701171875,0.9838729500770569,141.7331085205078,2
google_robot_move_near__seed098__step071,google_robot_move_near,98,71,late,exploration,prompt_v1,19,0.21052631578947367,1.0,10,0.3684210526315789,0.42105263157894735,95.61547088623047,0.805290162563324,136.8787078857422,2
google_robot_move_near__seed098__step071,google_robot_move_near,98,71,late,exploration,prompt_single,19,0.47368421052631576,0.42105263157894735,4,0.10526315789473684,0.5263157894736842,115.03131103515625,0.8713214993476868,174.39146423339844,2
google_robot_move_near__seed098__step071,google_robot_move_near,98,71,late,exploration,prompt_sparse,19,0.3684210526315789,0.5263157894736842,7,0.21052631578947367,0.5263157894736842,100.1801986694336,0.8581410646438599,168.7625732421875,3
google_robot_move_near__seed099__step008,google_robot_move_near,99,8,early,exploration,standard_shr,42,1.0,0.4523809523809524,3,0.0,0.6666666666666666,231.76156616210938,1.1287860870361328,225.08908081054688,5
google_robot_move_near__seed099__step008,google_robot_move_near,99,8,early,exploration,prompt_v1,42,0.4523809523809524,1.0,18,0.23809523809523808,0.16666666666666666,142.97129821777344,0.8118616938591003,145.96481323242188,2
google_robot_move_near__seed099__step008,google_robot_move_near,99,8,early,exploration,prompt_single,42,0.6190476190476191,0.6428571428571429,12,0.11904761904761904,0.2619047619047619,184.4145050048828,0.8964883089065552,236.13165283203125,3
google_robot_move_near__seed099__step008,google_robot_move_near,99,8,early,exploration,prompt_sparse,42,0.5238095238095238,0.7380952380952381,12,0.11904761904761904,0.2619047619047619,165.05209350585938,0.8457539081573486,163.47735595703125,4
google_robot_move_near__seed099__step040,google_robot_move_near,99,40,middle,exploration,standard_shr,9,1.0,0.3333333333333333,1,0.0,1.0,110.5283203125,0.9343163371086121,201.1825408935547,0
google_robot_move_near__seed099__step040,google_robot_move_near,99,40,middle,exploration,prompt_v1,9,0.3333333333333333,1.0,6,0.3333333333333333,0.2222222222222222,78.3152084350586,0.7294039726257324,96.56116485595703,1
google_robot_move_near__seed099__step040,google_robot_move_near,99,40,middle,exploration,prompt_single,9,0.4444444444444444,0.4444444444444444,2,0.1111111111111111,0.8888888888888888,92.04679870605469,0.7463086247444153,182.69195556640625,0
google_robot_move_near__seed099__step040,google_robot_move_near,99,40,middle,exploration,prompt_sparse,9,0.3333333333333333,0.4444444444444444,2,0.0,0.7777777777777778,78.5980453491211,0.7283779382705688,118.59133911132812,0
google_robot_move_near__seed099__step071,google_robot_move_near,99,71,late,exploration,standard_shr,27,1.0,0.4074074074074074,3,0.0,0.5925925925925926,157.39767456054688,1.0220528841018677,240.1346893310547,2
google_robot_move_near__seed099__step071,google_robot_move_near,99,71,late,exploration,prompt_v1,27,0.4074074074074074,1.0,12,0.25925925925925924,0.3333333333333333,118.73457336425781,0.825274646282196,175.8128204345703,5
google_robot_move_near__seed099__step071,google_robot_move_near,99,71,late,exploration,prompt_single,27,0.5555555555555556,0.5555555555555556,8,0.1111111111111111,0.3333333333333333,139.02272033691406,0.8876373171806335,198.35708618164062,3
google_robot_move_near__seed099__step071,google_robot_move_near,99,71,late,exploration,prompt_sparse,27,0.5925925925925926,0.6666666666666666,7,0.14814814814814814,0.4444444444444444,132.14950561523438,0.9024024605751038,208.31390380859375,2
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,validation,standard_shr,35,1.0,0.14285714285714285,1,0.0,1.0,156.14971923828125,0.8734515309333801,147.80491638183594,3
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,validation,prompt_v1,35,0.14285714285714285,1.0,18,0.22857142857142856,0.14285714285714285,138.9203643798828,0.778700053691864,142.70660400390625,1
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,validation,prompt_single,35,0.4857142857142857,0.5428571428571428,10,0.14285714285714285,0.2857142857142857,150.73135375976562,0.8732722401618958,238.21063232421875,2
google_robot_open_drawer__seed000__step011,google_robot_open_drawer,0,11,early,validation,prompt_sparse,35,0.5428571428571428,0.4857142857142857,8,0.14285714285714285,0.5142857142857142,151.82992553710938,0.8928675651550293,249.44796752929688,2
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,validation,standard_shr,40,1.0,0.375,2,0.025,0.975,184.28004455566406,1.047499418258667,203.78216552734375,3
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,validation,prompt_v1,40,0.375,1.0,16,0.25,0.325,166.408203125,0.874363124370575,187.64016723632812,2
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,validation,prompt_single,40,0.7,0.6,4,0.075,0.925,174.81301879882812,1.0193417072296143,229.8065185546875,3
google_robot_open_drawer__seed000__step056,google_robot_open_drawer,0,56,middle,validation,prompt_sparse,40,0.7,0.6,6,0.125,0.875,174.44337463378906,1.021264672279358,228.1259765625,4
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,validation,standard_shr,23,1.0,0.17391304347826086,1,0.0,1.0,140.17860412597656,0.8606448173522949,126.77598571777344,0
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,validation,prompt_v1,23,0.17391304347826086,1.0,16,0.5217391304347826,0.17391304347826086,104.45734405517578,0.7405880689620972,109.57335662841797,0
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,validation,prompt_single,23,0.17391304347826086,0.34782608695652173,2,0.043478260869565216,0.9565217391304348,115.9551010131836,0.8797330260276794,171.60086059570312,0
google_robot_open_drawer__seed000__step101,google_robot_open_drawer,0,101,late,validation,prompt_sparse,23,0.21739130434782608,0.43478260869565216,4,0.08695652173913043,0.4782608695652174,125.3801498413086,0.8660315871238708,178.27542114257812,0
google_robot_open_drawer__seed001__step011,google_robot_open_drawer,1,11,early,validation,standard_shr,40,1.0,0.275,1,0.0,1.0,170.81817626953125,0.8762418627738953,202.58169555664062,3
google_robot_open_drawer__seed001__step011,google_robot_open_drawer,1,11,early,validation,prompt_v1,40,0.275,1.0,15,0.15,0.2,156.21641540527344,0.8170711398124695,214.6921844482422,3
google_robot_open_drawer__seed001__step011,google_robot_open_drawer,1,11,early,validation,prompt_single,40,0.7,0.45,7,0.1,0.675,161.9084014892578,0.7942357659339905,234.72647094726562,3
google_robot_open_drawer__seed001__step011,google_robot_open_drawer,1,11,early,validation,prompt_sparse,40,0.65,0.475,4,0.05,0.7,165.77053833007812,0.821724534034729,236.89991760253906,3
google_robot_open_drawer__seed001__step056,google_robot_open_drawer,1,56,middle,validation,standard_shr,37,1.0,0.4864864864864865,1,0.0,1.0,158.8610382080078,0.9913066029548645,194.69252014160156,3
google_robot_open_drawer__seed001__step056,google_robot_open_drawer,1,56,middle,validation,prompt_v1,37,0.4864864864864865,1.0,12,0.16216216216216217,0.43243243243243246,151.4141845703125,0.8520196676254272,204.70176696777344,2
google_robot_open_drawer__seed001__step056,google_robot_open_drawer,1,56,middle,validation,prompt_single,37,0.6756756756756757,0.6486486486486487,4,0.05405405405405406,0.8918918918918919,156.96580505371094,0.9360882639884949,197.02169799804688,3
google_robot_open_drawer__seed001__step056,google_robot_open_drawer,1,56,middle,validation,prompt_sparse,37,0.6756756756756757,0.6486486486486487,5,0.08108108108108109,0.8648648648648649,157.3057403564453,0.9509009122848511,195.17196655273438,3
