task,seed,category,phase,control_step,sector,removed_count,progress,delta_vs_locked_full,mean_action_l2,mean_residual_norm,final_success
open_drawer,10,rescue,contact_or_motion,31,r2_c1,7,0.05191267468035221,-0.014257494360208511,0.08830120722490806,213.97716369628907,0
open_drawer,10,rescue,late,90,r0_c1,1,-0.0003249943256378174,0.0,0.0006318151319728155,160.00808715820312,1
open_drawer,10,rescue,late,90,r1_c0,1,-0.00019803643226623535,0.00012695789337158203,0.0006318151319728155,159.78527374267577,1
open_drawer,10,rescue,late,90,r1_c1,1,-0.0003249943256378174,0.0,0.0006318151319728155,160.50709838867186,1
open_drawer,10,rescue,late,90,r2_c0,11,0.007684290409088135,0.008009284734725952,0.00852950428163303,158.46884841918944,1
open_drawer,10,rescue,late,90,r2_c1,6,-0.0003249943256378174,0.0,0.0006318151319728155,158.9056838989258,1
open_drawer,13,harm,approach,0,r1_c1,8,0.19851080464050033,-0.012592463086996908,0.10941379210046434,221.42790031433105,0
open_drawer,13,harm,approach,0,r2_c0,3,0.17422035557377766,-0.03688291215371958,0.07859639684227757,215.05699310302734,0
open_drawer,13,harm,approach,0,r2_c1,11,0.14145239549137686,-0.06965087223612038,0.09346936173486005,227.66730651855468,0
open_drawer,13,harm,contact_or_motion,56,r0_c0,1,4.31600013974659e-14,0.0,0.07588755757513135,237.19386138916016,0
open_drawer,13,harm,contact_or_motion,56,r0_c1,1,4.31600013974659e-14,0.0,0.07588755757513135,236.89215393066405,0
open_drawer,13,harm,contact_or_motion,56,r1_c0,2,4.31600013974659e-14,0.0,0.07697863615274023,237.06591796875,0
open_drawer,13,harm,contact_or_motion,56,r1_c1,16,4.31600013974659e-14,0.0,0.07588755757513135,237.2092483520508,0
open_drawer,13,harm,contact_or_motion,56,r2_c0,8,4.31600013974659e-14,0.0,0.07487208241029436,237.17396087646483,0
open_drawer,13,harm,contact_or_motion,56,r2_c1,22,4.31600013974659e-14,0.0,0.06548315948783642,229.05512008666992,0
open_drawer,13,harm,late,90,r0_c0,1,4.3159974292411585e-14,0.0,0.052173887777564196,235.21014099121095,0
open_drawer,13,harm,late,90,r0_c1,1,4.3159974292411585e-14,0.0,0.07198776735037153,240.97533721923827,0
open_drawer,13,harm,late,90,r1_c0,2,4.3159974292411585e-14,0.0,0.05366588156127411,241.63455505371093,0
open_drawer,13,harm,late,90,r1_c1,15,4.3159974292411585e-14,0.0,0.07171759610982767,246.4351608276367,0
open_drawer,13,harm,late,90,r2_c0,9,4.3159974292411585e-14,0.0,0.03169585352765562,247.31220245361328,0
open_drawer,13,harm,late,90,r2_c1,23,4.3159974292411585e-14,0.0,0.07691311466992974,213.47791213989257,0
open_drawer,17,rescue,approach,0,r0_c0,2,0.1795557241952872,-0.05148007974675506,0.106822113852859,199.51287078857422,0
open_drawer,17,rescue,approach,0,r0_c1,3,0.18670642414454686,-0.044329379797495405,0.12407082712839992,182.60597076416016,0
open_drawer,17,rescue,approach,0,r1_c0,17,0.1751681950705299,-0.055867608871512375,0.1638692534376957,172.90032463073732,0
open_drawer,17,rescue,approach,0,r1_c1,6,0.22348329281675522,-0.0075525111252870425,0.11736824049848611,183.85256805419922,0
open_drawer,17,rescue,approach,0,r2_c0,12,0.1751681950705299,-0.055867608871512375,0.1638692534376957,171.83297691345214,0
